scenario,value,policy,n_seed,p_c6_viol_mean,p_c6_viol_std,p_c6_exceed_ratio_mean,p_c6_exceed_ratio_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std
user_num,10.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Stand-alone MEC,2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0
user_num,30.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Random,2,0.151,0.0050000000000000044,0.31666666666666665,0.016666666666666663,0.08333333333333334,0.01666666666666667,0.0,0.0
user_num,30.0,Stand-alone MEC,2,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
user_num,35.0,C6-Only,2,0.03019047619047619,0.03019047619047619,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0
user_num,35.0,Full,2,0.03019047619047619,0.03019047619047619,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0
user_num,35.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,35.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,35.0,No-EVT,2,0.03019047619047619,0.03019047619047619,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0
user_num,35.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,35.0,Random,2,0.4260952380952381,0.00114285714285714,0.6,0.0,0.2857142857142857,0.02857142857142858,0.2,0.0
user_num,35.0,Stand-alone MEC,2,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
user_num,40.0,C6-Only,2,0.11858333333333335,0.0017499999999999946,0.15,0.024999999999999994,0.05,0.0,0.0125,0.0125
user_num,40.0,Full,2,0.11858333333333335,0.0017499999999999946,0.15,0.024999999999999994,0.05,0.0,0.025,0.0
user_num,40.0,IQL,2,0.024833333333333336,0.024833333333333336,0.025,0.025,0.025,0.025,0.025,0.025
user_num,40.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,40.0,No-EVT,2,0.11975,0.0005833333333333315,0.15,0.024999999999999994,0.05,0.0,0.0125,0.0125
user_num,40.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,40.0,Random,2,0.5698333333333334,0.004500000000000004,0.6,0.0,0.575,0.024999999999999967,0.35,0.024999999999999994
user_num,40.0,Stand-alone MEC,2,0.7705833333333333,0.0004166666666666208,1.0,0.0,0.6,0.0,0.6,0.0
