experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,1.0,IQL,2,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,250.53796611255422,0.0,0.0,0.0,0.5266666666666666,17.407967163361853,0.05802655721120618,0.0,0.0,0.0,0.47333333333333333,0.0,0.0,0.0,0.5266666666666666
stress_scan,load_scale,1.0,No-EVT,1,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
stress_scan,load_scale,1.0,No-EVT,2,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
stress_scan,load_scale,1.0,Lyapunov-Greedy,1,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,520.1654130222221,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Lyapunov-Greedy,2,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,520.8410732222222,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Non-MEC,1,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,520.1654130222221,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Non-MEC,2,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,520.8410732222222,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Stand-alone MEC,1,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,112.99275878749583,0.0,0.0,0.0,1.0,7.627406552087021,0.025424688506956738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,1.0,Stand-alone MEC,2,15,1.0,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,112.97051522237547,0.0,0.0,0.0,1.0,7.622736507882455,0.025409121692941516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,1.0,Random,1,15,1.0,1.0,1.0,1.0,40,0.5,0.95,0.0,0.0,0.0,730.8983693845516,0.0,0.0,0.0,0.51,1.734391449510597,0.0057813048317019895,0.12333333333333334,0.10333333333333333,0.13333333333333333,0.13,0.13333333333333333,0.10333333333333333,0.16333333333333333,0.11
stress_scan,load_scale,1.0,Random,2,15,1.0,1.0,1.0,1.0,40,0.5,0.9433333333333334,0.0,0.0,0.0,763.1560832418345,0.0,0.0,0.0,0.4966666666666667,1.6774775199327436,0.005591591733109145,0.11,0.12,0.14,0.13333333333333333,0.10666666666666667,0.10666666666666667,0.15,0.13333333333333333
stress_scan,load_scale,1.5,Full,1,15,1.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,415.0260800528051,0.0,0.0,0.0,0.5166666666666667,24.264123878371826,0.08088041292790608,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
stress_scan,load_scale,1.5,Full,2,15,1.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,356.95894297011495,0.0,0.0,0.0,0.5166666666666667,21.148916987716817,0.07049638995905605,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
stress_scan,load_scale,1.5,IQL,1,15,1.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,407.86676383823476,0.0,0.0,0.0,0.5366666666666666,24.373694754411474,0.08124564918137157,0.0,0.0,0.0,0.4633333333333333,0.0,0.0,0.0,0.5366666666666666
