experiment,weight,policy,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol_mean,p_c5_viol_std,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_c5_excess_ratio_mean,mean_c5_excess_ratio_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std
weight_sweep,1.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.427668292,0.16380710229204995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight_sweep,2.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.427668292,0.16380710229204995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight_sweep,5.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.427668292,0.16380710229204995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight_sweep,10.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.427668292,0.16380710229204995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight_sweep,20.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.427668292,0.16380710229204995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight_sweep,40.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.427668292,0.16380710229204995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
