scenario,value,policy,n_seed,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std
f_scale,1.2,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0
