episode,reward_mean
0,-1.4649596104372995
1,-8.485245379874923
2,-24.9236247747673
3,-5.171532400807345
4,-15.103131266121778
5,-28.053197338612872
6,-11.410838968540167
7,-55.316097941043125
8,-7.714417065509534
9,-9.318095360029641
10,-10.822965764068563
11,-7.317799163152199
12,-22.74427972668757
13,-27.738835873675686
14,-21.699768357977693
15,-25.338282241117106
16,-11.838249296785197
17,-8.95070977099703
18,-4.696065468481178
19,-15.36909087939623
20,-21.265353900175324
21,-0.69270545870727
22,-22.365545013896742
23,-11.370748305340753
24,-28.215168683534575
25,-20.73816851212523
26,-11.592213036152021
27,-11.37683407106032
28,-0.6036439005355704
29,-34.029686867304676
30,-15.084935955572364
31,-14.425354463799238
32,-14.605929031693625
33,-20.337108407791288
34,-20.82050453844429
35,-12.21892404901863
36,-9.812302811164646
37,-25.946580515484488
38,-18.276332827404765
39,-2.1193095931576726
40,-5.3048504070682565
41,-8.129146164352562
42,-4.116681957130919
43,-5.98721660976525
44,-10.520853068606383
45,-13.465680186483345
46,-1.9471687824221138
47,-9.22528638889804
48,-21.893906660317157
49,-12.602355478136298
50,-12.251422702589355
51,-6.053146953857168
52,-10.077587598442818
53,-10.213374259688859
54,-15.574446855492509
55,-2.991023980385675
56,-3.306853558575902
57,-31.663066045063747
58,-3.7918808247101277
59,-15.496755523960172
60,-12.472961073392627
61,-7.188504031786227
62,-5.259943070339932
63,-1.2021948728131528
64,-15.081188847269033
65,-12.0854361398546
66,-5.736189207549213
67,-6.1171882515341505
68,-10.178388070781258
69,-12.439965065639164
70,-6.5177153403869115
71,-9.562339198786136
72,-5.671443921389838
73,-8.883765288420955
74,-23.2244707304353
75,-4.824323703916035
76,-16.76207758086767
77,-4.787115136284897
78,-8.113472953920663
79,-15.26522108220491
80,-43.48892593563936
81,-28.870625151572384
82,-10.082644474404141
83,-14.549364724876908
84,-3.1203870151162088
85,-1.1816022466612839
86,-11.208766473331792
87,-4.0810873280407645
88,-11.11180932336829
89,-14.172216338233165
90,-4.254991400965705
91,-13.757276168044667
92,-7.495820512694864
93,-9.742870260791056
94,-49.636310225667195
95,-9.843126121569435
96,-9.414170462806087
97,-26.91656616417981
98,-9.139555602432969
99,-24.08184115374492
100,-9.978256158879358
101,-7.3683555439077715
102,-9.760044495948279
103,-9.645400423822046
104,-7.833237217204504
105,-12.503882058520913
106,-9.40927568168052
107,-10.208120321413897
108,-12.511654332629357
109,-12.863456250002429
110,-8.265045408549835
111,-14.256351440856788
112,-10.47397270349186
113,-16.000849082346825
114,-14.316042442113796
115,-15.369265126906617
116,-6.353009003447017
117,-5.147071332337915
118,-2.827830926045977
119,-15.625785050374715
120,-4.100640540461224
121,-3.0712969119400566
122,-3.266796142262092
123,-23.82130472323159
124,-4.230540947141732
125,-8.901235856015285
126,-20.587486567307003
