scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,0.5,Full,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13822222222222205,0.7551111111111111,0.036,0.037333333333333336,0.03333333333333333,0.028888888888888888,0.03111111111111111,0.048,0.030222222222222223,4.590232424242904,0.002040103299663513,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,Full,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154222222222222,0.7435555555555555,0.03911111111111111,0.03244444444444444,0.030666666666666665,0.03777777777777778,0.051111111111111114,0.03155555555555556,0.033777777777777775,4.654210790771085,0.0020685381292315933,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-VQ,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13822222222222205,0.7551111111111111,0.036,0.037333333333333336,0.03333333333333333,0.028888888888888888,0.03111111111111111,0.048,0.030222222222222223,4.590232424242904,0.002040103299663513,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-VQ,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154222222222222,0.7435555555555555,0.03911111111111111,0.03244444444444444,0.030666666666666665,0.03777777777777778,0.051111111111111114,0.03155555555555556,0.033777777777777775,4.654210790771085,0.0020685381292315933,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-GPD,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13822222222222205,0.7551111111111111,0.036,0.037333333333333336,0.03333333333333333,0.028888888888888888,0.03111111111111111,0.048,0.030222222222222223,4.590232424242904,0.002040103299663513,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-GPD,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154222222222222,0.7435555555555555,0.03911111111111111,0.03244444444444444,0.030666666666666665,0.03777777777777778,0.051111111111111114,0.03155555555555556,0.033777777777777775,4.654210790771085,0.0020685381292315933,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-Lyapunov,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13822222222222205,0.7551111111111111,0.036,0.037333333333333336,0.03333333333333333,0.028888888888888888,0.03111111111111111,0.048,0.030222222222222223,4.590232424242904,0.002040103299663513,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-Lyapunov,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154222222222222,0.7435555555555555,0.03911111111111111,0.03244444444444444,0.030666666666666665,0.03777777777777778,0.051111111111111114,0.03155555555555556,0.033777777777777775,4.654210790771085,0.0020685381292315933,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-Priority,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14133333333333317,0.7528888888888889,0.036444444444444446,0.035111111111111114,0.03422222222222222,0.029777777777777778,0.033777777777777775,0.04844444444444444,0.029333333333333333,1.3011685752932864,0.000578297144574794,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-Priority,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404444444444443,0.7475555555555555,0.04488888888888889,0.03333333333333333,0.033777777777777775,0.03333333333333333,0.04666666666666667,0.027555555555555555,0.03288888888888889,1.3711624982852564,0.0006094055547934473,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,Random,1,15,0.5,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.007555555555555555,89254.09574259595,151796334684.4236,0.5035555555555558,0.12755555555555556,0.12311111111111112,0.12177777777777778,0.124,0.11866666666666667,0.128,0.12488888888888888,0.132,30.512949159123956,0.013561310737388425,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,Random,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071111111111115,0.11822222222222223,0.12088888888888889,0.12755555555555556,0.12622222222222224,0.12444444444444444,0.14533333333333334,0.12177777777777778,0.11555555555555555,28.05322421639571,0.012468099651731426,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,Full,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,321817.6215547234,896735242278.6194,0.14088888888888873,0.752,0.03688888888888889,0.037333333333333336,0.03288888888888889,0.029777777777777778,0.03288888888888889,0.048,0.030222222222222223,9.395095344055129,0.004175597930691169,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,Full,2,15,1.0,1.0,1.0,1.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.061777777777777786,692405.9363670402,7904710078331.458,0.15866666666666646,0.7386666666666667,0.03822222222222222,0.03244444444444444,0.032,0.03777777777777778,0.05733333333333333,0.029777777777777778,0.033777777777777775,9.050296416956806,0.004022353963091914,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-VQ,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,280458.5998916341,591400215221.8533,0.13822222222222205,0.7546666666666667,0.03688888888888889,0.037333333333333336,0.03288888888888889,0.028888888888888888,0.03111111111111111,0.048,0.030222222222222223,9.15030984848582,0.0040668043771048094,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-VQ,2,15,1.0,1.0,1.0,1.0,0.13333333333333333,0.06666666666666667,0.0,0.061777777777777786,483722.9486521233,3424171419440.7563,0.15288888888888869,0.7435555555555555,0.03955555555555555,0.03244444444444444,0.03155555555555556,0.036444444444444446,0.051555555555555556,0.03111111111111111,0.033777777777777775,8.96555023147005,0.003984688991764467,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-GPD,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,321817.6215547234,896735242278.6194,0.14088888888888873,0.752,0.03688888888888889,0.037333333333333336,0.03288888888888889,0.029777777777777778,0.03288888888888889,0.048,0.030222222222222223,9.395095344055129,0.004175597930691169,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-GPD,2,15,1.0,1.0,1.0,1.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.061777777777777786,692405.9363670402,7904710078331.458,0.15866666666666646,0.7386666666666667,0.03822222222222222,0.03244444444444444,0.032,0.03777777777777778,0.05733333333333333,0.029777777777777778,0.033777777777777775,9.050296416956806,0.004022353963091914,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-Lyapunov,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,280458.5998916341,591400215221.8533,0.13822222222222205,0.7546666666666667,0.03688888888888889,0.037333333333333336,0.03288888888888889,0.028888888888888888,0.03111111111111111,0.048,0.030222222222222223,9.15030984848582,0.0040668043771048094,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-Lyapunov,2,15,1.0,1.0,1.0,1.0,0.13333333333333333,0.06666666666666667,0.0,0.061777777777777786,483722.9486521233,3424171419440.7563,0.15288888888888869,0.7435555555555555,0.03955555555555555,0.03244444444444444,0.03155555555555556,0.036444444444444446,0.051555555555555556,0.03111111111111111,0.033777777777777775,8.96555023147005,0.003984688991764467,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-Priority,1,15,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.06088888888888889,616328.4873810876,3189910027540.741,0.14844444444444424,0.7453333333333333,0.036,0.03777777777777778,0.03244444444444444,0.035111111111111114,0.03333333333333333,0.050666666666666665,0.029333333333333333,2.7475415014294104,0.001221129556190849,20.0,1.0,1e+24,1e+25,0.1,300,0.5
