scenario,value,policy,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,total_energy,avg_energy_per_slot_user,episodes,warmup_ratio,seed
user_num,15,non_mec,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.011249999999999887,1.2499999999999874e-06,2000,0.7,1
user_num,15,mec_only,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.7459986325765,0.007193999848064056,2000,0.7,1
user_num,20,main,20,1.0,1.0,1.0,1.0,0.05,0.0,0.0,0.015000000000000173,1.2500000000000145e-06,2000,0.7,1
user_num,20,non_mec,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.015000000000000173,1.2500000000000145e-06,2000,0.7,1
user_num,20,mec_only,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.042961572026506,0.004836913464335542,2000,0.7,1
user_num,25,main,25,1.0,1.0,1.0,1.0,0.04,0.04,0.0,0.018750000000000013,1.250000000000001e-06,2000,0.7,1
user_num,25,non_mec,25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.018750000000000013,1.250000000000001e-06,2000,0.7,1
user_num,25,mec_only,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.867218727330616,0.0039244812484887075,2000,0.7,1
user_num,30,main,30,1.0,1.0,1.0,1.0,0.03333333333333333,0.0,0.0,0.022499999999999774,1.2499999999999874e-06,2000,0.7,1
user_num,30,non_mec,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.022499999999999774,1.2499999999999874e-06,2000,0.7,1
user_num,30,mec_only,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.43801471017879,0.0035798897061210437,2000,0.7,1
user_num,35,main,35,1.0,1.0,1.0,1.0,0.02857142857142857,0.0,0.0,0.026249999999999774,1.2499999999999893e-06,2000,0.7,1
user_num,35,non_mec,35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.026249999999999774,1.2499999999999893e-06,2000,0.7,1
user_num,35,mec_only,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.55962000993087,0.003502839048091946,2000,0.7,1
user_num,40,main,40,1.0,1.0,1.0,1.0,0.025,0.0,0.0,0.03000000000000035,1.2500000000000145e-06,2000,0.7,1
user_num,40,non_mec,40,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03000000000000035,1.2500000000000145e-06,2000,0.7,1
user_num,40,mec_only,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85.63130752556053,0.0035679711468983555,2000,0.7,1
