scenario,value,ablation,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,0.5,Full,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14622222222222203,0.00799999999999998,0.7493333333333333,0.005777777777777771,0.03755555555555555,0.0015555555555555566,0.034888888888888886,0.002444444444444447,0.032,0.001333333333333334,0.03333333333333333,0.004444444444444445,0.04111111111111111,0.010000000000000002,0.03977777777777778,0.008222222222222221,0.032,0.0017777777777777757,4.622221607506995,0.03198918326409039,0.0020543207144475533,1.4217414784040193e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-VQ,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14622222222222203,0.00799999999999998,0.7493333333333333,0.005777777777777771,0.03755555555555555,0.0015555555555555566,0.034888888888888886,0.002444444444444447,0.032,0.001333333333333334,0.03333333333333333,0.004444444444444445,0.04111111111111111,0.010000000000000002,0.03977777777777778,0.008222222222222221,0.032,0.0017777777777777757,4.622221607506995,0.03198918326409039,0.0020543207144475533,1.4217414784040193e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-GPD,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14622222222222203,0.00799999999999998,0.7493333333333333,0.005777777777777771,0.03755555555555555,0.0015555555555555566,0.034888888888888886,0.002444444444444447,0.032,0.001333333333333334,0.03333333333333333,0.004444444444444445,0.04111111111111111,0.010000000000000002,0.03977777777777778,0.008222222222222221,0.032,0.0017777777777777757,4.622221607506995,0.03198918326409039,0.0020543207144475533,1.4217414784040193e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-Lyapunov,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14622222222222203,0.00799999999999998,0.7493333333333333,0.005777777777777771,0.03755555555555555,0.0015555555555555566,0.034888888888888886,0.002444444444444447,0.032,0.001333333333333334,0.03333333333333333,0.004444444444444445,0.04111111111111111,0.010000000000000002,0.03977777777777778,0.008222222222222221,0.032,0.0017777777777777757,4.622221607506995,0.03198918326409039,0.0020543207144475533,1.4217414784040193e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,-Priority,2,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14088888888888873,0.00044444444444444176,0.7502222222222222,0.002666666666666706,0.04066666666666667,0.004222222222222221,0.03422222222222222,0.0008888888888888904,0.034,0.00022222222222222435,0.03155555555555556,0.0017777777777777774,0.04022222222222222,0.006444444444444447,0.038,0.010444444444444444,0.03111111111111111,0.0017777777777777792,1.3361655367892715,0.03499696149598497,0.0005938513496841207,1.5554205109326693e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,0.5,Random,2,15,0.5,1.0,1.0,1.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0037777777777777775,0.0037777777777777775,44627.047871297975,44627.047871297975,75898167342.2118,75898167342.2118,0.5053333333333336,0.001777777777777878,0.1228888888888889,0.004666666666666666,0.122,0.0011111111111111113,0.12466666666666668,0.0028888888888888922,0.12511111111111112,0.0011111111111111183,0.12155555555555556,0.0028888888888888853,0.13666666666666666,0.00866666666666667,0.12333333333333332,0.001555555555555553,0.12377777777777778,0.008222222222222228,29.283086687759834,1.2298624713641235,0.013014705194559925,0.0005466055428284995,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,Full,2,15,1.0,1.0,1.0,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.058,0.0037777777777777827,507111.77896088175,185294.15740615837,4400722660305.039,3503987418026.4194,0.1497777777777776,0.008888888888888863,0.7453333333333334,0.006666666666666654,0.03755555555555555,0.0006666666666666661,0.034888888888888886,0.002444444444444447,0.03244444444444444,0.0004444444444444452,0.03377777777777778,0.004,0.045111111111111116,0.012222222222222221,0.03888888888888889,0.009111111111111111,0.032,0.0017777777777777757,9.222695880505967,0.17239946354916125,0.004098975946891541,7.662198379962751e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-VQ,2,15,1.0,1.0,1.0,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.058,0.0037777777777777827,382090.77427187865,101632.1743802446,2007785817331.3047,1416385602109.4514,0.14555555555555538,0.007333333333333317,0.7491111111111111,0.005555555555555591,0.03822222222222222,0.0013333333333333322,0.034888888888888886,0.002444444444444447,0.03222222222222222,0.0006666666666666661,0.03266666666666666,0.003777777777777779,0.04133333333333333,0.010222222222222223,0.03955555555555555,0.008444444444444445,0.032,0.0017777777777777757,9.057930039977936,0.09237980850788485,0.004025746684434638,4.105769267017138e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-GPD,2,15,1.0,1.0,1.0,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.058,0.0037777777777777827,507111.77896088175,185294.15740615837,4400722660305.039,3503987418026.4194,0.1497777777777776,0.008888888888888863,0.7453333333333334,0.006666666666666654,0.03755555555555555,0.0006666666666666661,0.034888888888888886,0.002444444444444447,0.03244444444444444,0.0004444444444444452,0.03377777777777778,0.004,0.045111111111111116,0.012222222222222221,0.03888888888888889,0.009111111111111111,0.032,0.0017777777777777757,9.222695880505967,0.17239946354916125,0.004098975946891541,7.662198379962751e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,1.0,-Lyapunov,2,15,1.0,1.0,1.0,1.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.058,0.0037777777777777827,382090.77427187865,101632.1743802446,2007785817331.3047,1416385602109.4514,0.14555555555555538,0.007333333333333317,0.7491111111111111,0.005555555555555591,0.03822222222222222,0.0013333333333333322,0.034888888888888886,0.002444444444444447,0.03222222222222222,0.0006666666666666661,0.03266666666666666,0.003777777777777779,0.04133333333333333,0.010222222222222223,0.03955555555555555,0.008444444444444445,0.032,0.0017777777777777757,9.057930039977936,0.09237980850788485,0.004025746684434638,4.105769267017138e-05,20.0,1.0,1e+24,1e+25,0.1,300,0.5
