scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,2.0,-GPD,1,15,2.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9777777777777779,23910525.872312345,763506497519619.5,0.20399999999999968,29.36651858909697,0.013051786039598653,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,2.0,-Lyapunov,1,15,2.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.8,0.9777777777777779,18028510.936029837,449057014312655.44,0.13822222222222205,18.270967196971625,0.008120429865320723,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,2.0,-Priority,1,15,2.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9706666666666667,23774391.692475818,740332930423532.6,0.2008888888888886,7.339611218936498,0.0032620494306384437,20.0,1.0,1e+24,1e+25,0.1,300,0.5
load_scale,2.0,Random,1,15,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51805967.18410105,3330426421351711.5,0.5035555555555558,121.75066038649577,0.05411140461622034,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,Full,1,15,1.0,1.0,0.4,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,365169.3442409908,1155620430851.8591,0.14222222222222206,5.635451504040163,0.0025046451129067393,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-VQ,1,15,1.0,1.0,0.4,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,296579.88206192583,639880528333.4491,0.1386666666666665,5.564793158641448,0.002473241403840644,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-GPD,1,15,1.0,1.0,0.4,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,365169.3442409908,1155620430851.8591,0.14222222222222206,5.635451504040163,0.0025046451129067393,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-Lyapunov,1,15,1.0,1.0,0.4,1.0,0.26666666666666666,0.0,0.0,0.05422222222222222,296579.88206192583,639880528333.4491,0.1386666666666665,5.564793158641448,0.002473241403840644,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,-Priority,1,15,1.0,1.0,0.4,1.0,0.26666666666666666,0.0,0.0,0.05466666666666667,645277.3035907348,3439528949450.8223,0.1479999999999998,1.0051394191402039,0.0004467286307289795,20.0,1.0,1e+24,1e+25,0.1,300,0.5
f_scale,0.4,Random,1,15,1.0,1.0,0.4,1.0,1.0,0.6666666666666666,0.6,0.6466666666666666,10745381.88870584,200507972357149.0,0.5035555555555558,48.624504507246115,0.021610890892109384,20.0,1.0,1e+24,1e+25,0.1,300,0.5
