experiment,weight,policy,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol_mean,p_c5_viol_std,p_c6_viol_mean,p_c6_viol_std,p_c6_exceed_ratio_mean,p_c6_exceed_ratio_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_c5_excess_ratio_mean,mean_c5_excess_ratio_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std
weight_sweep,1.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,1.0,0.9580740740740741,0.0020068469902436254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9776775881481,0.8350427655061322,0.0,0.0,0.0,0.0,0.0,0.0,0.052962962962962885,0.002179842810305492,1867251.9712933844,175195.95092820018,414.944882509641,38.932433539600034,0.0,0.0,0.0,0.0,0.0,0.0,0.947037037037037,0.0021798428103055375,0.01037037037037037,0.00037770514915502095,0.009777777777777778,0.0011036788463519506,0.011925925925925927,0.0008380524814062784,0.020888888888888887,0.0007908946853356538
weight_sweep,2.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,2.0,0.9580740740740741,0.0020068469902436254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9776775881481,0.8350427655061322,0.0,0.0,0.0,0.0,0.0,0.0,0.052962962962962885,0.002179842810305492,1867251.9712933844,175195.95092820018,414.944882509641,38.932433539600034,0.0,0.0,0.0,0.0,0.0,0.0,0.947037037037037,0.0021798428103055375,0.01037037037037037,0.00037770514915502095,0.009777777777777778,0.0011036788463519506,0.011925925925925927,0.0008380524814062784,0.020888888888888887,0.0007908946853356538
weight_sweep,5.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,5.0,0.9580740740740741,0.0020068469902436254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9776775881481,0.8350427655061322,0.0,0.0,0.0,0.0,0.0,0.0,0.052962962962962885,0.002179842810305492,1867251.9712933844,175195.95092820018,414.944882509641,38.932433539600034,0.0,0.0,0.0,0.0,0.0,0.0,0.947037037037037,0.0021798428103055375,0.01037037037037037,0.00037770514915502095,0.009777777777777778,0.0011036788463519506,0.011925925925925927,0.0008380524814062784,0.020888888888888887,0.0007908946853356538
weight_sweep,10.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,10.0,0.9580740740740741,0.0020068469902436254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9776775881481,0.8350427655061322,0.0,0.0,0.0,0.0,0.0,0.0,0.052962962962962885,0.002179842810305492,1867251.9712933844,175195.95092820018,414.944882509641,38.932433539600034,0.0,0.0,0.0,0.0,0.0,0.0,0.947037037037037,0.0021798428103055375,0.01037037037037037,0.00037770514915502095,0.009777777777777778,0.0011036788463519506,0.011925925925925927,0.0008380524814062784,0.020888888888888887,0.0007908946853356538
weight_sweep,20.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,20.0,0.9580740740740741,0.0020068469902436254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9776775881481,0.8350427655061322,0.0,0.0,0.0,0.0,0.0,0.0,0.052962962962962885,0.002179842810305492,1867251.9712933844,175195.95092820018,414.944882509641,38.932433539600034,0.0,0.0,0.0,0.0,0.0,0.0,0.947037037037037,0.0021798428103055375,0.01037037037037037,0.00037770514915502095,0.009777777777777778,0.0011036788463519506,0.011925925925925927,0.0008380524814062784,0.020888888888888887,0.0007908946853356538
weight_sweep,40.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,40.0,0.9580740740740741,0.0020068469902436254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9776775881481,0.8350427655061322,0.0,0.0,0.0,0.0,0.0,0.0,0.052962962962962885,0.002179842810305492,1867251.9712933844,175195.95092820018,414.944882509641,38.932433539600034,0.0,0.0,0.0,0.0,0.0,0.0,0.947037037037037,0.0021798428103055375,0.01037037037037037,0.00037770514915502095,0.009777777777777778,0.0011036788463519506,0.011925925925925927,0.0008380524814062784,0.020888888888888887,0.0007908946853356538
