experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,10.0,Full,1,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,1.0,1.0,1.0,1.0,539.1114147637824,1.0,53794097.883074276,3731609302125571.5,0.052333333333333204,13.310517840881912,0.001478946426764657,0.0,0.0,0.0,0.9476666666666667,0.0,0.0,0.0,0.052333333333333336
weight_sweep,10.0,Full,2,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,1.0,1.0,1.0,0.9333333333333333,539.4302348290338,1.0,52676834.77894286,3584257047849016.0,0.04966666666666655,12.285282088476665,0.0013650313431640738,0.0,0.0,0.0,0.9503333333333334,0.0,0.0,0.0,0.049666666666666665
weight_sweep,10.0,Full,3,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,1.0,1.0,1.0,0.9333333333333333,537.0331057670453,1.0,53200257.24323795,3705538986510847.5,0.05166666666666653,13.892776414990953,0.0015436418238878836,0.0,0.0,0.0,0.9483333333333334,0.0,0.0,0.0,0.051666666666666666
weight_sweep,10.0,Full,4,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,1.0,1.0,1.0,0.9333333333333333,538.4685997003367,1.0,54390502.37398357,3951497466855081.0,0.051222222222222086,13.226659514485524,0.001469628834942836,0.0,0.0,0.0,0.9487777777777778,0.0,0.0,0.0,0.051222222222222225
weight_sweep,10.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,1.0,1.0,1.0,0.9333333333333333,538.2863217777206,1.0,54322978.174892135,3845236392206926.5,0.04911111111111099,13.270216751993315,0.0014744685279992572,0.0,0.0,0.0,0.9508888888888889,0.0,0.0,0.0,0.04911111111111111
weight_sweep,20.0,Full,1,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,1.0,1.0,1.0,0.8666666666666667,542.1450624886404,1.0,52911303.61510861,3524455431646806.0,0.05299999999999987,12.372701139574891,0.0013747445710638768,0.0,0.0,0.0,0.947,0.0,0.0,0.0,0.053
weight_sweep,20.0,Full,2,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,1.0,1.0,1.0,0.9333333333333333,539.1354421272557,1.0,52659189.827023715,3566018224329052.5,0.05044444444444431,12.885608344649853,0.0014317342605166504,0.0,0.0,0.0,0.9495555555555556,0.0,0.0,0.0,0.050444444444444445
weight_sweep,20.0,Full,3,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,1.0,1.0,1.0,0.9333333333333333,536.5702378715537,1.0,52649005.746127605,3713384073731754.5,0.05088888888888875,14.597200666388613,0.0016219111851542903,0.0,0.0,0.0,0.9491111111111111,0.0,0.0,0.0,0.050888888888888886
weight_sweep,20.0,Full,4,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,1.0,1.0,1.0,0.8666666666666667,539.7473746643244,1.0,52513868.10766285,3598267208835119.5,0.05166666666666653,12.581783888156542,0.001397975987572949,0.0,0.0,0.0,0.9483333333333334,0.0,0.0,0.0,0.051666666666666666
weight_sweep,20.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,1.0,1.0,1.0,0.9333333333333333,537.291994898658,1.0,53350868.416004546,3681463018772151.5,0.048111111111110993,13.375425794517273,0.0014861584216130303,0.0,0.0,0.0,0.9518888888888889,0.0,0.0,0.0,0.04811111111111111
weight_sweep,40.0,Full,1,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,1.0,1.0,1.0,1.0,537.8760248982595,1.0,52769915.67700561,3505162087480204.5,0.051999999999999866,14.125706201041414,0.0015695229112268237,0.0,0.0,0.0,0.948,0.0,0.0,0.0,0.052
weight_sweep,40.0,Full,2,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,1.0,1.0,1.0,0.8666666666666667,540.4151082573576,1.0,51795172.929269336,3428138003126518.5,0.05022222222222209,11.948819224099045,0.0013276465804554496,0.0,0.0,0.0,0.9497777777777778,0.0,0.0,0.0,0.050222222222222224
weight_sweep,40.0,Full,3,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,1.0,1.0,1.0,1.0,539.2372812330963,1.0,51015897.97143146,3272180032683752.5,0.05144444444444431,12.900930259959246,0.0014334366955510273,0.0,0.0,0.0,0.9485555555555556,0.0,0.0,0.0,0.051444444444444445
weight_sweep,40.0,Full,4,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,1.0,1.0,1.0,0.9333333333333333,539.5862823812952,1.0,51427082.39989079,3408404515076453.0,0.05188888888888875,13.393314654375382,0.0014881460727083759,0.0,0.0,0.0,0.9481111111111111,0.0,0.0,0.0,0.05188888888888889
weight_sweep,40.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,1.0,1.0,0.9333333333333333,0.8666666666666667,536.2608756308485,1.0,52088686.62980989,3565302856559779.0,0.048111111111110993,13.059020761714654,0.0014510023068571838,0.0,0.0,0.0,0.9518888888888889,0.0,0.0,0.0,0.04811111111111111
