scenario,value,policy,n_seed,p_c6_viol_mean,p_c6_viol_std,p_c6_exceed_ratio_mean,p_c6_exceed_ratio_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std
f_scale,0.4,C6-Only,3,0.5956296296296296,0.006180637050371286,0.6,0.0,0.5777777777777777,0.03142696805273544,0.4222222222222222,0.13698697784375502
f_scale,0.4,Full,3,0.5956296296296296,0.006180637050371286,0.6,0.0,0.5777777777777777,0.03142696805273544,0.4666666666666667,0.05443310539518172
f_scale,0.4,IQL,3,0.5139999999999999,0.03332493721418264,0.6,0.0,0.4,0.054433105395181744,0.2222222222222222,0.0628539361054709
f_scale,0.4,Lyapunov-Greedy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,No-EVT,3,0.5956296296296296,0.006180637050371286,0.6,0.0,0.5777777777777777,0.03142696805273544,0.4222222222222222,0.13698697784375502
f_scale,0.4,Non-MEC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Random,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
f_scale,0.4,Stand-alone MEC,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
f_scale,0.6,C6-Only,3,0.44866666666666666,0.01951827254044175,0.5555555555555556,0.06285393610547088,0.26666666666666666,0.05443310539518172,0.11111111111111112,0.0628539361054709
f_scale,0.6,Full,3,0.44866666666666666,0.01951827254044175,0.5555555555555556,0.06285393610547088,0.26666666666666666,0.05443310539518172,0.11111111111111112,0.0628539361054709
f_scale,0.6,IQL,3,0.2207037037037037,0.019134854616110832,0.4222222222222222,0.06285393610547091,0.0,0.0,0.0,0.0
f_scale,0.6,Lyapunov-Greedy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,No-EVT,3,0.44866666666666666,0.01951827254044175,0.5555555555555556,0.06285393610547088,0.26666666666666666,0.05443310539518172,0.11111111111111112,0.0628539361054709
f_scale,0.6,Non-MEC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Random,3,0.5502592592592592,0.006682902041644545,0.6,0.0,0.5111111111111111,0.06285393610547088,0.4,0.0
f_scale,0.6,Stand-alone MEC,3,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
f_scale,0.8,C6-Only,3,0.2535925925925926,0.05108713876896467,0.35555555555555557,0.03142696805273547,0.06666666666666667,0.05443310539518174,0.0,0.0
f_scale,0.8,Full,3,0.2535925925925926,0.05108713876896467,0.35555555555555557,0.03142696805273547,0.06666666666666667,0.05443310539518174,0.0,0.0
f_scale,0.8,IQL,3,0.061,0.010097467392204122,0.2,0.05443310539518174,0.0,0.0,0.0,0.0
f_scale,0.8,Lyapunov-Greedy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,No-EVT,3,0.2535925925925926,0.05108713876896467,0.35555555555555557,0.03142696805273547,0.06666666666666667,0.05443310539518174,0.0,0.0
f_scale,0.8,Non-MEC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Random,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Stand-alone MEC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,C6-Only,3,0.1494814814814815,0.027242295446230264,0.2,0.0,0.06666666666666667,0.05443310539518174,0.0,0.0
f_scale,1.0,Full,3,0.1494814814814815,0.027242295446230264,0.2,0.0,0.06666666666666667,0.05443310539518174,0.0,0.0
f_scale,1.0,IQL,3,0.04044444444444444,0.005946953433820791,0.1111111111111111,0.03142696805273545,0.0,0.0,0.0,0.0
f_scale,1.0,Lyapunov-Greedy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,No-EVT,3,0.1494814814814815,0.027242295446230264,0.2,0.0,0.06666666666666667,0.05443310539518174,0.0,0.0
f_scale,1.0,Non-MEC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Random,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Stand-alone MEC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,C6-Only,3,0.14222222222222222,0.03182526883822844,0.17777777777777778,0.031426968052735454,0.06666666666666667,0.0,0.0,0.0
f_scale,1.2,Full,3,0.14222222222222222,0.03182526883822844,0.17777777777777778,0.031426968052735454,0.06666666666666667,0.0,0.0,0.0
f_scale,1.2,IQL,3,0.03222222222222222,0.0070384014271854195,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
