experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,1.0,Full,7,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.9542222222222223,0.0,0.0,0.0,0.0,499.2676201511111,0.0,0.0,0.0,0.05733333333333333,890274.8461034006,395.6777093792891,0.0,0.0,0.0,0.9426666666666667,0.012888888888888889,0.011555555555555555,0.009333333333333334,0.023555555555555555
weight_sweep,1.0,Full,16,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.9577777777777777,0.0,0.0,0.0,0.0,498.53064304888886,0.0,0.0,0.0,0.053777777777777785,1619811.8996351084,719.916399837826,0.0,0.0,0.0,0.9462222222222222,0.010222222222222223,0.013777777777777778,0.010666666666666666,0.01911111111111111
weight_sweep,1.0,Full,24,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.9626666666666667,0.0,0.0,0.0,0.0,500.321531928889,0.0,0.0,0.0,0.047111111111111124,1851648.1557178746,822.954735874611,0.0,0.0,0.0,0.9528888888888889,0.010666666666666666,0.008,0.008,0.020444444444444446
weight_sweep,2.0,Full,7,15,1.0,1.0,1.0,1.0,500,0.7,2.0,0.9542222222222223,0.0,0.0,0.0,0.0,499.2676201511111,0.0,0.0,0.0,0.05733333333333333,890274.8461034006,395.6777093792891,0.0,0.0,0.0,0.9426666666666667,0.012888888888888889,0.011555555555555555,0.009333333333333334,0.023555555555555555
weight_sweep,2.0,Full,16,15,1.0,1.0,1.0,1.0,500,0.7,2.0,0.9577777777777777,0.0,0.0,0.0,0.0,498.53064304888886,0.0,0.0,0.0,0.053777777777777785,1619811.8996351084,719.916399837826,0.0,0.0,0.0,0.9462222222222222,0.010222222222222223,0.013777777777777778,0.010666666666666666,0.01911111111111111
weight_sweep,2.0,Full,24,15,1.0,1.0,1.0,1.0,500,0.7,2.0,0.9626666666666667,0.0,0.0,0.0,0.0,500.321531928889,0.0,0.0,0.0,0.047111111111111124,1851648.1557178746,822.954735874611,0.0,0.0,0.0,0.9528888888888889,0.010666666666666666,0.008,0.008,0.020444444444444446
weight_sweep,5.0,Full,7,15,1.0,1.0,1.0,1.0,500,0.7,5.0,0.9542222222222223,0.0,0.0,0.0,0.0,499.2676201511111,0.0,0.0,0.0,0.05733333333333333,890274.8461034006,395.6777093792891,0.0,0.0,0.0,0.9426666666666667,0.012888888888888889,0.011555555555555555,0.009333333333333334,0.023555555555555555
weight_sweep,5.0,Full,16,15,1.0,1.0,1.0,1.0,500,0.7,5.0,0.9577777777777777,0.0,0.0,0.0,0.0,498.53064304888886,0.0,0.0,0.0,0.053777777777777785,1619811.8996351084,719.916399837826,0.0,0.0,0.0,0.9462222222222222,0.010222222222222223,0.013777777777777778,0.010666666666666666,0.01911111111111111
weight_sweep,5.0,Full,24,15,1.0,1.0,1.0,1.0,500,0.7,5.0,0.9626666666666667,0.0,0.0,0.0,0.0,500.321531928889,0.0,0.0,0.0,0.047111111111111124,1851648.1557178746,822.954735874611,0.0,0.0,0.0,0.9528888888888889,0.010666666666666666,0.008,0.008,0.020444444444444446
weight_sweep,10.0,Full,7,15,1.0,1.0,1.0,1.0,500,0.7,10.0,0.9542222222222223,0.0,0.0,0.0,0.0,499.2676201511111,0.0,0.0,0.0,0.05733333333333333,890274.8461034006,395.6777093792891,0.0,0.0,0.0,0.9426666666666667,0.012888888888888889,0.011555555555555555,0.009333333333333334,0.023555555555555555
