experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,1.0,Random,7,15,1.0,1.0,1.0,1.0,50,0.7,0.7333333333333332,0.0,0.0,0.0,0.0,1029.6198753037036,0.0,0.0,0.0,0.5155555555555555,636459.5667032251,2828.7091853476672,0.13777777777777778,0.11555555555555555,0.14666666666666667,0.08444444444444445,0.15555555555555556,0.10666666666666667,0.1288888888888889,0.12444444444444444
stress_scan,load_scale,1.5,Full,7,15,1.5,1.0,1.0,1.0,50,0.7,0.6222222222222221,0.0,0.0,0.0,0.0,484.3934368888888,0.0,0.0,0.0,0.47111111111111104,2222993.1074643894,9879.969366508398,0.0,0.0,0.0,0.5288888888888889,0.09333333333333334,0.07555555555555556,0.08888888888888889,0.21333333333333335
stress_scan,load_scale,1.5,IQL,7,15,1.5,1.0,1.0,1.0,50,0.7,0.6711111111111111,0.0,0.0,0.0,0.0,438.9647364888889,0.0,0.0,0.0,0.4311111111111111,1491105.2281949322,6627.134347533032,0.0,0.0,0.0,0.5688888888888889,0.06666666666666667,0.08444444444444445,0.08444444444444445,0.19555555555555557
stress_scan,load_scale,1.5,No-EVT,7,15,1.5,1.0,1.0,1.0,50,0.7,0.6222222222222221,0.0,0.0,0.0,0.0,484.3934368888888,0.0,0.0,0.0,0.47111111111111104,2222993.1074643894,9879.969366508398,0.0,0.0,0.0,0.5288888888888889,0.09333333333333334,0.07555555555555556,0.08888888888888889,0.21333333333333335
stress_scan,load_scale,1.5,C6-Only,7,15,1.5,1.0,1.0,1.0,50,0.7,0.6222222222222221,0.0,0.0,0.0,0.0,484.3934368888888,0.0,0.0,0.0,0.47111111111111104,2222993.1074643894,9879.969366508398,0.0,0.0,0.0,0.5288888888888889,0.09333333333333334,0.07555555555555556,0.08888888888888889,0.21333333333333335
stress_scan,load_scale,1.5,Lyapunov-Greedy,7,15,1.5,1.0,1.0,1.0,50,0.7,1.0,0.0,0.0,0.0,0.0,776.2645465333331,0.0,0.0,0.0,0.0,0.06074999999999998,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.5,Non-MEC,7,15,1.5,1.0,1.0,1.0,50,0.7,1.0,0.0,0.0,0.0,0.0,776.2645465333331,0.0,0.0,0.0,0.0,0.06074999999999998,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.5,Stand-alone MEC,7,15,1.5,1.0,1.0,1.0,50,0.7,0.10666666666666666,0.0,0.0,0.0,0.0,106.66666666666669,0.0,0.0,0.0,1.0,1093923.4583302368,4861.882037023275,0.0,0.0,0.0,0.0,0.0,0.0,0.8933333333333333,0.10666666666666667
stress_scan,load_scale,1.5,Random,7,15,1.5,1.0,1.0,1.0,50,0.7,0.5377777777777778,0.0,0.0,0.0,0.0,1224.6720351777776,0.0,0.0,0.0,0.5155555555555555,529239.9014426017,2352.1773397448965,0.13777777777777778,0.11555555555555555,0.14666666666666667,0.08444444444444445,0.15555555555555556,0.10666666666666667,0.1288888888888889,0.12444444444444444
stress_scan,load_scale,2.0,Full,7,15,2.0,1.0,1.0,1.0,50,0.7,0.6177777777777778,0.0,0.0,0.0,0.0,595.8749588148147,0.0,0.0,0.0,0.47555555555555545,3023990.850360158,13439.959334934036,0.0,0.0,0.0,0.5244444444444445,0.08888888888888889,0.08,0.08888888888888889,0.21777777777777776
